'abbrev	abbreviation
lolq	laugh out loud quietly
lolrof	Laughing out loud while rolling on the floor.
lolrotf	laughing out loud rolling on the floor
lolrotf&icgu	laughing out loud rolling on the floor & i can't get up
lols	laugh out loud
lolwtime	laughing out loud with tears in my eyes
lolz	laugh out loud
lombard	lots of money but a right dick
lomg	like oh my god
loml	love of my life
lomy	love of my life
lond	London
lonh	lights on, nobody home
lool	laughing outrageously out loud
loomm	laughing out of my mind
lopsod	long on promises, short on delivery
lorl	laugh out real loud
lorrl	laugh out really really loud
lotf	laughing on the floor
loti	laughing on the inside
lotr	lord of the rings
lou	laughing over you
lov	love
lovu	love you
loxen	laughing out loud
loxxen	laughing out loud
lozer	loser
lpb	low ping bastard
lpc	lead pipe cinch
lpiaw	Large Penis is always welcome
lpms	life pretty much sucks
lpos	lazy piece of shit
lpt	printer
lq	Laughing Quietly
lq2m	laughing quietly to myself
lqtm	Laugh quietly to myself
lqtms	Laughing quietly to myself
lqts	laughing quietly to self
lrf	little rubber feet
lrfl	Laughing really fucking loud
lrh	laughing really hard
lrqtms	laughing really quietly to myself
lsb	life sucks balls
lsfw	Less Safe For Work
lshic	laughing so hard i'm crying
lshid	laugh so hard i die
lshipmp	Laughing so Hard I Piss My Pants
lshismp	laughed so hard I shit my pants
lshitipal	laughing so hard i think i peed a little
lshiwms	laughing so hard I wet myself
lshmbh	laughing so hard my belly hurts
lshmson	laughing so hard milk shot out nose
lshrn	laughing so hard right now
lsmih	laughing so much it hurts
lsr	loser
lsudi	Lets see you do it
lsv	language, sex, violence
lt	long time
ltb	looking to buy
ltf	lick the floor
lthtt	laughing too hard to type
ltic	laughing 'til i cry
ltio	laughing til i orgasm
ltip	laughting until I puke
ltm	listen to me
ltmq	Laugh To Myself Quietly
ltms	Laughing to my self
ltnc	Long time no see
ltns	long time no see
ltnsoh	Long time, no see or hear
ltnt	long time no talk
ltp	Lay the pipe
ltr	later
lts	laughing to self
lttic	look the teacher is coming
lttpot	laughing to the point of tears
ltw	Lead The Way
ltywl	love the way you lie
lu2	love you too
lu2d	love you to death
lu4l	love you for life
lub	laugh under breath
luf	love
luff	Love
lug	lesbian until graduation
luk	look
lukin	looking
lul	love you lots
lulab	Love you like a brother
lulas	Love You Like a Sister
lulu	locally undesireable land use
lulz	Laughing out loud.
lumtp	love you more than pie
lumu	love you miss you
lumumi	love you miss you mean it
lurker	one who reads but doesn't reply
lurve	love
luser	user who is a loser
lusm	love you so much
luv	love
luver	lover
luvuvm	love you very much
luvv	love
luzar	Loser
lv	love
lve	Love
lvl	level
lvn	loving
lvr	lover
lvya	love you
lwih	look what I have
lwn	last week's news
lwr	launch when ready
lwu	laughing with you
lwys	look what you started
lxx	Septuagint
ly	love you
ly2	love you to
ly4e	love you forever
lya	love you always
lyaab	Love you as a brother
lyaaf	Love you as a friend
lyao	laugh your ass off
lyb	love you babe
lybo	laugh your butt off
lycylbb	love you, see you later, bye bye
lyf	life
lyfe	life
lyk	like
lyk3	like
lyke	like
lykyamy	love you, kiss you, already miss you
lyl	love you lots
lylab	love you like a brother
lylaba	love you like a brother always
lylad	love you like a dad
lylafklc	love you like a fat kid loves cake
lylam	love you like a mom
lylas	I love you like a sister
lylasa	love you like a sister always
lylb	love you later bye
lylno	Love you like no other
lyls	love you lots
lymi	love you mean it
lysfm	love you so fucking much
lysm	love you so much
lysouaq	learn your shit or up and quit
lyt	love you too
lyvm	love you very much
lywamh	love you with all my heart
lzer	laser
lzr	loser
m	am
m.i.a	Missing In Action
m.o	makeout
m'kay	okay
m/b	maybe
m/f	male or female
m&d	mom and dad
m$	Microsoft
m$wxp	Microsoft Windows XP
m2	me too
m2ny	me too, not yet
m3	me
m473s	friends
m473z	friends
m4c	meet for coffee
m4f	male for female
m4m	male for male
m4w	men for women
m8	friend
m84l	mate for life
m8s	mates
m8t	mate
m8t's	friends
m9	mine
ma	mature audience
mabby	maybe
mabe	Maybe
macc	(in the Apocrypha) Maccabees
mach	machinery, machine(s)
mag	magazine
magn	magnetism, magnetic
mah	my
mai	my
mal	(in the Bible) Malachi
managem	management
manch	Manchester
manip	manipulation
manuf	manufacturing, manufacture(s)
mao	my ass off
mar	March
marvy	marvelous
masc	masculine
masterb8	masterbate
mastrb8	masturbate.
maya	most advanced yet accessible
mayb	maybe
mayte	mate
mb	my bad
mbf	my best friend
mbfal	my best friend and lover
mbhsm	My Boobs Hurt So Much
mbl8r	Maybe Later
mbn	must be nice
mbrfn	must be real fucking nice
mcds	mcdonalds
mcm	man crush monday
mcs	My computer sucks
mcse	Microsoft Certified Systems Engineer
md	doctor of medicine
mdr	mort de rire
me2	me too
meas	measure
measurem	measurement
meatcurtain	woman's private parts
meatspace	the real world
mech	mechanics, mechanical
med	medicine, medical
medit	meditation
meeh	me
mego	my eyes glaze over
meh	whatever
mejr	my eyes just rolled
mem	memoir(s)
merc	mercury
merch	merchant(s)
messg	message
metall	metallurgy
metallif	metalliferous
metallogr	metallography, metallographic(al)
metamorph	metamorphosis
metaph	metaphysics
metaphor	metaphorical(ly)
meteorol	meteorology, meteorologic(al)
meth	method(s)
metr gr	metri gratia
metrop	metropolitan, metropolis
mex	Mexican
mf	motherfucker
mf2f4sx	meet face to face for sex
mfa	mother fucking asshole
mfah	motherfucking asshole
mfao	my fucking ass off
mfb	mother fucking bitch
mfd	multi-function device
mfg	merge from current
mfic	mother fucker in charge
mfkr	motherfucker
mflfs	married female looking for sex
mfr	motherfucker
mfrc	my fingers are crossed
mfw	my face when
mfwic	mother fucker who's in charge
mgiwjsdchmw	my girlfriend is watching jeff so don't call her my wife
mhbfy	my heart bleeds for you
mhh	my head hurts
mhhm	uh huh
mhm	Yes
mho	My Humble Opinion
mhoty	my hat's off to you
mhyf	move how you feel
mia	Missing In Action
mic	microphone
mich	Michigan
microbiol	microbiology
microsc	microscopic(al)
midl	midland(s) (dialect)
mih	make it happen
mihap	may i have your attention please
miid	my internet is down
mil	military
milf	Mom i'd like to fuck
milit	military
miltf	Mom I'd like to fuck
min	minute
mineral	mineralogy, minaralogic(al)
miq	make it quick
mir	mom in room
mirl	meet in real life
misc	miscellaneous, miscellany
misc.	miscellaneous
miscell	miscellany
miself	myself
mispr	misprinted
mite	might
mitin	more info than i needed
miw	mom is watching
miwnlf	mom I would not like to fuck.
mk	mmm....ok
mkay	ok
mkop	my kind of place
mla	multiple letter acronym
mlas	my lips are sealed
mlc	mid life crisis
mle	emily
mlia	my life is amazing
mlm	giving the digital middle finger
mlod	mega laugh out loud of doom
mm	market maker
mmamp	Meet me at my place
mmas	meet me after school
mmatc	meet me around the corner
mmatp	meet me at the park
mmbocmb	message me back or comment me back
mmd	make my day
mmha2u	my most humble apologies to you
mmiw	my mom is watching
mmk	umm, ok
mml	making me laugh
mml8r	meet me later
mmlfs	married man looking for sex
mmmkay	okay
mmo	Massive Multiplayer Online
mmorpg	massively multiplayer online role playing game
mmt	meet me there
mmtyh	My mom thinks you're hot
mmw	making me wet
mmyt	mail me your thoughts
mngmt	management
mngr	manager
mnm	eminem
mnt	More next time
mo	move on
mobo	motherboard
mod	modern
mof	matter of fact
mofo	mother fucker
moh	Medal Of Honor
mohaa	Medal of Honor Allied Assult
mol	more or less
mompl	moment please
monum	monument
moo	mud object-oriented
moobs	man boobs
mooc	massive open online course
moos	member of the opposite sex
mop	moment please
mor	more
morf	male or female
moro	tomorrow
morphol	morphology
mos	mom over shoulder
motarded	more retarded
motas	member of the appropriate sex
motd	message of the day
motos	member of the opposite sex
motss	member(s) of the same sex
mpaw	my parents are watching
mpbis	most popular boy in school
mpd	Multiple Personality Disorder
mpfb	my personal fuck buddy
mpgis	most popular girl in school
mph	miles per hour
mpih	my penis is hard
mpty	more power to you
mra	moving right along
mrau	message received and understood
mrm	men's rights movement
mrph	mail the right place for help
msf	male seeking female
msg	message
msgs	messages
msh	Me so horny
msibo	my side is busting open
msie	microsoft's internet explorer
msm	main stream media
msmd	monkey see - monkey do
msngr	messenger
msnuw	mini-skirt no underwear
mssg	message
msta	must see to appreciate
mstm	makes sense to me
msv	Microsoft Vista
mt	mount(ain)
mtbf	mean time before failure
mtc	more to come
mtf	More to Follow
mtfbwu	may the force be with you
mtfbwy	May the Force be with you
mtg	meeting
mtherfker	mother fucker
mthrfkr	mother fucker
mtl	more than likely
mtla	my true love always
mtmmfbwy	may the micky mouse force be with you
mtr	matter
mtrfkr	motherfucker
mtsbwy	may the schwartz be with you
mtsitn	more than ships in the night
mu	miss you
muah	the sound of a kiss
mubar	messed up beyond all recognition
mudda	mother
mul	miss you lots
munic	municipal
munif	munificence
munim	muniment
mus	music, musical
musiq	music
musl	missing you shit loads
musm	Miss You So Much
mutha	mother
muve	multi-user virtual environment
muvva	mother
muzik	music
mva	motor vehicle accident
mva no pi	motor vehicle accident with no personal injury
mva w/pi	motor vehicle accident with personal injury
mw2	modern warfare 2
mw3	Modern Warfare 3
mwah	kiss
mwbrl	more will be revealed later
mwf	Married White Female
mws	my wife says
mwsmirl	maybe we should meet in real life
myaly	miss you and love you
myfb	mind your fucking business
myke	man-dyke
myl	mind your language
myn	mine
myob	mind your own business
myodb	mind your own damn business
myofb	mind your own fucking business
mypl	my young padawan learner
mysm	Miss you so much
myspce	myspace
myst	mystery
myth	mythology
mythol	mythology
n	and
n afr	North Africa(n)
n amer	North America(n)
n carolina	North Carolina
n dakota	North Dakota
n e	any
n ir	Northern Irish
n irel	Northern Ireland
n pic	nice picture
n-a-y-l	in a while
n/a	not applicable
n/a/s/l	name, age, sex location
n/c	no comment
n/m	nevermind
n/n	nickname
n/o	no offense
n/t	no text
n00b	newbie
n00bs	newbies
n00dz	nudes
n00s	news
n1	nice one
n199312	african american
n1994	african american
n2	into
n2b	not too bad
n2bb	nice to be back
n2br	not to be rude
n2g	Not too good
n2m	not too much
n2mh	not too much here
n2mhbu	not too much how about you?
n2mhjc	not too much here just chillin
n2mjchbu	not too much just chillin, how bout you?
n2mu	not too much, you?
n2n	need to know
n2p	need to pee
n64	Nintendo 64
n8v	native
na	not applicable
na4w	not appropriate for work
naa	not at all
nab	not a blonde
nade	grenade
nadt	not a damn thing
nafc	Not Appropriate for Children
nafkam	Not Away From Keyboard Any More
naft	Not A Fucking Thing
nafta	North American Free Trade Agreement
nagb	nearly almost a good bridge
nah	no
nak	nursing at keyboard
nalopkt	not a lot of people know that
namailu	not as much as i love you
namh	not at my house
nao	Not As Often
narr	narrative
narrat	narrative
nascar	non-athletic sport centered around rednecks
nat	natural
nat hist	natural history
nat philos	natural philosophy
nat sci	natural science
natch	naturally
natm	not at the minute
nato	no action, talk only
naut	nautical
nav	navigation
navig	navigation
navy	never again volunteer yourself
naw	no
naw-t	Naughty
nawidt	never again will i do that
nawt	not
naww	no
nayl	in a while
naz	name, address, zip (also means nasdaq)
nb	not bad
nb,p	nothing bad, parents
nb4t	not before time
nba	national basketball association
nbd	no big deal
nbdy	nobody
nbfab	not bad for a beginner
nbfabs	not bad for a bot stopper
nbg	no bloody good
nbif	no basis in fact
nblfy	nothing but love for you
nbs	no bull shit
nc	not cool
ncaa	National Collegiate Athletic Association
ncg	new college graduate
ncs	no crap sherlock
nd	and
ndit	No details in thread
ndn	indian
nds	Nintendo DS
ne	north-east, north-eastern
ne-wayz	anyways
ne1	anyone
ne14kfc	anyone for kfc?
ne1er	anyone here?
ne2h	need to have
ned	New English Dictionary
neday	any day
nedn	any day now
neet	not currently engaged in employment, education, or training
nefing	anything
neh	(in the Bible) Nehemiah
neida	any idea
neighb	neighbour(s), neighbourhood
nekkid	naked
nemore	Anymore
nerv	nervous
nes	Nintendo Entertainment System
nesec	any second
nethin	anything
nething	anything
neurol	neurology, neurologic(al)
neurosurg	neurosurgery
nev	neighborhood electric vehicle
neva	never
nevah	never
nevar	Never
nevarz	never
nevm	never mind
nevr	never
new hampsh	New Hampshire
newais	Anyways
neway	anyway
neways	anyways
newayz	anyways
newb	someone who is new
newbie	new player
newc	Newcastle
newez	anyways
newspr	newsprint
nf	not funny
nfbsk	not for british school kids
nfc	no fucking clue
nfd	no fucking deal
nfe	no fucking excuses
nff	not fucking fair
nfg	not fucking good
nfi	no fucking idea
nfr	not for real
nfs	not for sale
nft	no further text
nfw	no fucking way
ng	nice game
ngaf	nobody gives a fuck
ngb	nearly good bridge
ngh	not gonna happen
ngl	Not Gonna Lie
nh	nice hand
nhatm	not here at the moment
nhoh	never heard of him/her
ni	no idea
ni4ni	an eye for any eye
ni994	nigga
nib	new in box
nic	Network Interface Card
nice	nonsense in crappy existence
nif	non internet friend
nifoc	naked in front of computer
nifok	naked in front of keyboard
nigysob	now I've got you son of a bitch
nigyysob	now i've got you, you son of a bitch
nih	not invented here
nim	no internal message
nimby	not in my backyard
nimjd	not in my job description
nimq	not in my queue
nimy	never in a million years
nin	no its not
nino	nothing in, nothing out
nip	nothing in particular
nips	nipples
nism	need i say more
nite	night
nitl	not in this lifetime
niywfd	not in your wildest fucking dreams
nizzle	nigger
nj	Nice job
njapf	not just another pretty face
njoy	enjoy
njp	nice job partner
nk	no kidding
nkt	never knew that
nld	nice lay down
nll	nice little lady
nltbru	not likely to be run over
nm	not much
nm u	not much, you
nm, u	not much, you?
nmbr	number
nme	enemy
nmf	not my fault
nmfp	not my fucking problem
nmh	not much here
nmhau	nothing much how about you
nmhjc	not much here, just chilling
nmhm	nothing much here, man
nmhu	nothing much here, you?
nmhwby	nothing much here what about you
nmjb	nothing much just bored
nmjc	not much, just chillin'
nmjch	Nothing Much Just Chilling
nmjcu	nothing much, just chilling, you?
nmjdhw	nothing much just doing homework
nmjfa	nothing much, just fucking around
nmnhnlm	no money, no honey, nobody loves me
nmp	Not My Problem
nmte	now more than ever
nmu	nothing much, you
nmw	no matter what
nmwh	no matter what happens
nn	good night
nn2r	no need to respond
nnaa	no not at all
nncimintfz	not now chief, i'm in the fucking zone
nnfaa	no need for an apology
nnr	no not really
nnsh	night night sweet heart
nntr	no need to reply
nntst	no need to say thanks
nnww	nudge, nudge, wink, wink
no praw	no problem
no pro	no problem
no1	no one
noa	not online anymore
noaa	National Oceanic and Atmospheric Administration
noc	naked on camera
noe	know
noes	no
nofi	No Flame Intended
nolm	No one loves me
nom	nominative
nomw	not on my watch
non-conf	nonconformist(s)
nonce-wd	nonce-word
nonconf	nonconformist(s)
noob	someone who is new
noobie	new person
nooblet	new player
noobz0r	newbie
noodz	nude pictures
nookie	sex
nop	normal operating procedure
norf	Norfolk
north	northern (dialect)
northamptonsh	Northamptonshire
northants	Northamptonshire
northumb	Northumberland, Northumbrian
northumbld	Northumberland
northumbr	Northumbrian
norw	Norwegian
norweg	Norwegian
norwich	knickers off ready when I come home
nos	new old stock
notin	nothing
notts	Nottinghamshire
noty	no thank you
noub	none of your business
nov	November
nowai	No way
nowin	knowing
noy	not online yet
noyb	none of your business
noygdb	none of your god damn business
np	no problem
np4np	naked pic for naked pic
npa	not paying attention
npc	Non-playable character
npe	nope
npgf	no problem girl friend
nph	no problem here
npi	no pun intended
npnt	no picture, no talk
nps	No Problems
nq	Thank you
nqa	no questions asked
nqocd	not quite our class dear
nr	no reserve
nr4u	not right for you
nrg	energy
nrn	No Response Necessary
ns	nouns
ns wales	New South Wales
nsa	No Strings Attached
nsas	No Strings Attached Sex
nsb	not sure but
nsfmf	not so fast my friend
nsfu	no sex for you
nsfw	not safe for work
nss	no shit sherlock
nst	no school today
nstaafl	No Such Thing As a Free Lunch
nstlc	need some tender loving care
nsw	New South Wales
nt	nice try
nta	not this again
ntabom	now that's a bunch of malarkey
ntb	not to bad
ntbn	no text-back needed
nth	nothing
nthg	nothing
nthin	nothing
nthn	nothing
ntigaf	not that i give a fuck
ntim	not that it matters
ntimm	not that it matters much
ntk	Need to know
ntkb	need to know basis
ntl	nonetheless
ntm	not to much
ntmk	Not to my knowledge
ntmu	nice to meet you
ntmy	nice to meet you
ntn	nothing
ntrly	Not Really
nts	note to self
ntstt	not safe to talk
ntt	need to talk
ntta	nothing to talk about
nttawwt	Not that there is anything wrong with that
nttiawwt	Not that there is anything wrong with that.
ntty	nice talking to you
ntw	not to worry
ntxt	no text
nty	no thank you
ntymi	now that you mention it
nu	new
nub	inexperienced person
nucl	nuclear
nuff	enough
nuffin	nothing
nufin	nothing
num	(in the Bible) Numbers
numism	numismatics
nutin	nothing
nuttin	nothing
nv	envy
nvm	never mind
nvmd	nevermind
nvmdt	never mind then
nvmt	nevermind that
nvng	nothing ventured, nothing gained
nvr	never
nvrm	Nevermind
nvrmnd	never mind
nw	north-west, north-western
nwal	nerd without a life
nwb	a new person
nwih	no way in hell
nwot	new without tags
nwr	not work related
nwrus	no way are your serious
nws	not work safe
nwt	new with tags
nwtf	now what the fuck
nwy	no way
nxt	next
ny	New York
ny1	Anyone
nyc	New York City
nycfs	new york city finger salute
nyf	not your fault
nyp	not your problem
nywy	anyway
nz	New Zealand
o	Oh
o rly	oh really
o.p.	Original Poster
o/y	oh yeah
o&o	over and out
oao	over and out
oaoa	over and over again
oar	on a roll
oatus	on a totally unrelated subject
oaus	on an unrelated subject
oaw	on a website
ob	obligatory
obad	(in the Bible) Obadiah
obe	overcome by events
obed	obedience
obgjfioyo	old but good job finding it on your own
obj	object, objective
obl	oblique
obo	or best offer
obs	obsolete
observ	observation(s)
obstet	obstetric(s)
obstetr	obstetric(s)
obstetr med	obstetric medicine
obtw	oh, by the way
obv	obviously
obvi	obviously
obx	old battle axe
oc	original character
occ	Occupation
occas	occasional
occup	occupation(al)
occurr	occurrence
ocd	obsessive compulsive disorder
oceanogr	oceanography, oceanographic(al)
ocgg	Oh Crap, gotta go
oct	October
od	over dose
oday	software illegally obtained before it was released
odg	oh dear God
odtaa	one damn thing after another
oe	(in dates) Old English
oed	Oxford English Dictionary
of10	often
ofap	old fart at play
ofc	of course
ofcol	oh for crying out loud
offic	official
ofn	Old Fucking News
oftc	out for the count
oftn	often
oftpc	off topic
og	original gangster
ogw	oh guess what
oh noes	oh shit!
oh noez	Oh no!
ohic	oh I see
ohn	oh hell no
ohnoez	Oh no
ohy	oh hell yeah
oibmpc	oops I broke my computer
oic	oh, I see
oicic	oh i see i see
oicu	oh, i see you!
oicu812	oh i see, you ate one too
oicwydt	oh, i see what you did there
oidia	oops i did it again
oirwis	oh i remember what i said
oiyd	Only In Your Dreams
oj	orange juice
ojsu	Oh, just shut up!
ok	okay
okla	Oklahoma
ol	old lady
oll	online love
oln	online netiquette
olo	only laughed once
olpc	One Laptop Per Child
om	old man
omb	oh my buddha
omdb	over my dead body
omdg	oh my dear god
omdz	Oh My Days
ome	oh my evolution
omfg	oh my fucking god
omfgn	Oh my fucking god noob
omfgsh	Oh My Fucking Gosh
omfj	oh my fucking jesus
omfl	oh my fucking internet connection is slow
omfsm	Oh My Flying Spaghetti Monster
omfwtg	Oh My Fuck What The God?
omg	oh my God
omg's	oh my god's
omgd	Oh my gosh dude
omgf	oh my god...Fuck!
omgg	Oh my gosh girl
omgicfbi	Oh my god I can't fucking believe it
omgih	Oh My God In Heaven
omgihv2p	oh my god i have to pee
omginbd	Oh my God, It's no big deal
omgn	oh my goodness
omgny	oh my god no way
omgosh	Oh my gosh
omgroflmao	oh my god roll on the floor laughing my ass off
omgsh	oh my gosh
omgty	Oh my god thank you
omgukk	oh my god you killed kenny
omgwtf	on my God, what the fuck
omgwtfbbq	oh my God, what the fuck
omgwtfhax	Oh My God What The Fuck, Hacks!
omgwtfit	Oh my God, what the fuck is that
omgwtfnipples	on my God, what the fuck
omgyg2bk	oh my god you got to be kidding
omgykkyb	oh my god you killed kenny you bastards
omgz	oh my God
omgzors	oh my god
omhg	oh my hell god
omik	open mouth, insert keyboard
omj	oh my jesus
oml	oh my lord
ommfg	oh my mother fucking god
omt	one more time
omw	on my way
omwh	on my way home
omwt	on my way too
omwts	on my way to school
omy	oh my!
onid	oh no i didn't
onna	oh no, not again
onnta	oh no, not this again
onoez	oh no
onoz	oh no
ont	Ontario
onud	oh no you didn't
onyd	oh no you didn't
oo	over and out
ooak	one of a kind
oob	out of buisness
oobl	out of breath laughing
ooc	out of character
oof	out of facility
oohm	out of his/her mind
ooi	out of interest
oom	Out of mana
oomf	One of my followers
oomm	out of my mind
ooo	out of the office
oos	out of stock
oot	out of touch
ootb	out of the blue
ootc	obligatory on topic comment
oow	On our way
ooym	out of your mind
op	operator
ophthalm	ophthalmology
ophthalmol	ophthalmology, ophtalmologic(al)
opp	opposed (to), the opposite (of)
oppress	oppression
opt	optics
orac	oracle(s)
ord	order(s)
org	organic
org chem	organic chemistry
organ chem	organic chemistry
orgy	orgasm
orig	origin(al)(ly)
orkn	Orkney
orlsx	oral sex
orly	oh really?
ornith	ornithology
ornithol	ornithology, ornithologic(al)
orpg	online role playing game
orthogr	orthography
os	operating system
osbutctt	only sad bastards use this crappy text talk
osd	On Screen Display
osif	oh shit i forgot
osifgt	oh shit i forgot
osintot	oh shit i never thought of that
oslt	or something like that
ost	on second thought
osy	oh screw you
ot	off topic
otasoic	owing to a slight oversight in construction
otc	off the chain
otf	off the floor
otfcu	on the floor cracking up
otfl	on the floor laughing
otflmao	On the floor laughing my ass off
otflmfao	On the floor laughing my fucking ass off
otflol	on the floor laughing out loud
otfp	on the fucking phone
otft	over the fucking top
oth	off the hook
oti	on the internet
otl	out to lunch
otoh	on the other hand
otp	on the phone
otr	on the road
ots	over the shoulder
ott	over the top
ottomh	off the top of my head
otw	on the way
ousu	oh you shut up
outl	outline
ova	over
oways	oh wow are you serious
owned	made to look bad
ownt	made to look bad
ownz	owns
ownzer	one who makes others look bad
ownzorz	Owned.
owt	Out
owtte	or words to that effect
oww	Oops, wrong window
oxf	Oxford
oxfordsh	Oxfordshire
oxon	Oxfordshire
oyfe	Open Your Fucking Eyes
oyid	oh yes i did
oyo	on your own
oyr	Oh Yeah Right
oz	australia
p	partner
p r	public records
p-nis	penis
p-za	pizza
p.o.b.	Parent Over Back
p.o.s	parent over shoulder
p.o.s.	parent over shoulder
p@w	parents are watching
p/oed	pissed off
p/u	pick up
p/w	password
p&c	private & confidential
p^s	parent over shoulder
p00p	poop
p0wn	make to look bad
p2c2e	process too complicated too explain
p2p	peer to peer
p2u4uraqtp	peace to you for you are a cutie pie
p33n	penis
p3n0r	penis
p3n15	penis
p3n1s	penis
p4p	pic for pic
p911	parent emergency (parent near)
pa	parent alert
pa pple	passive participle, past participle
pa t	past tense
pach	parents are coming home
pachs	parents are coming home soon
pae	Pimpin aint easy
pag	Parents Are Gone
pah	parents at home
pal	parents are listening
palaeobot	palaeobotany
palaeogr	palaeography
palaeont	palaeontology
palaeontol	palaeontology, palaeontologic(al)
pans	pretty awesome new stuff
paraphr	paraphrase, paraphrased
parasitol	parasitology
parl	parliament, parliamentary
parnass	Parnassus
parnts	parents
pas	parent at side
pasii	put a sock in it
pathol	pathology, pathologic(al)
pax	passengers
pb	peanut butter
pb&j	peanut butter and jelly
pbb	parent behind back
pbcakb	problem between chair and keyboard
pbem	play by email
pbiab	pay back is a bitch
pbj	peanut butter and jelly
pbkc	Problem between keyboard & chair
pbly	probably
pbm	parent behind me
pbp	Please Be Patient
pc	personal computer
pcbd	page cannot be displayed
pce	peace
pcent	percent
pcm	please call me
pcmcia	people can't memorize computer industry acronyms
pco	please come over
pcrs	Parents can read slang
pd	public domain
pda	public display of affection
pdg	pretty damn good
pdoma	pulled directly out of my ass
pdq	pretty damn quick
pds	please don't shout
peanus	penis
pearoast	repost
pebcac	problem exists between chair and computer
pebcak	Problem Exists Between Chair and Keyboard
pebkac	problem exists between keyboard and chair
pebmac	Problem Exist Between monitor and chair
peculat	peculation(s)
peep dis	check out what I'm telling you
pen0r	Penis
pen15	penis
penins	peninsula
penor	penis
perf	perfect
perh	perhaps
periodontol	periodontology, periodontologic(al)
pers	personal
persec	persecution(s)
personif	personified
perthsh	Perthshire
perv	pervert
petrogr	petrography, petrographic(al)
petrol	petrology, petrologic(al)
pewp	poop
pex	Please explain?
pezzas	parents
pf	perfect
pfa	Please Find Attached
pfc	pretty fucking cold
pfm	Please forgive me
pfo	please fuck off
pfos	parental figure over sholder
pfy	pimply faced youth
pg	page
ph#	phone number
ph33r	fear
ph34r	fear
phag	fag
phail	fail
pharm	pharmacology
pharmaceut	pharmaceutical
pharmacol	pharmacology, pharmacological
phat	pretty hot and tasty
phayl	fail
phb	pointy haired boss
phear	fear
phil	philosophy, philosophic(al)
philad	Philadelphia
philem	(in the Bible) Philemon
philipp	(in the Bible) Philippians
philol	philology, philologic(al)
philos	philosophy, philosophic(al)
phlr	peace hugs love respect
phm	please help me
phoen	Phoenician
phonet	phonetic(ally)
phonol	phonology
photog	photography
photogr	photography, photographic(al)
phq	fuck you
phr	phrase
phreak	freak
phreaker	phone hacker
phrenol	phrenology
phs	pointy haired stupidvisor
phuck	fuck
phucker	fucker
phuk	fuck
phun	fun
phux	Fuck
phuxor	fuck
phys	physiology
physical chem	physical chemistry
physical geogr	physical geography
physiogr	physiography
physiol	physiology, physiologic(al)
piaps	pig in a pant suit
pibkac	problem is between keyboard and chair
pic	picture
piccies	Pictures
pics	pictures
pict	picture(s)
pif	paid in full
pihb	pee in his/her butt
piihb	put it in her butt
piitb	put it in the butt
pima	Pain in my ass
pimfa	pain in my fucking ass
pimha	Pain in my hairy ass
pimp	peeing in my pants
pimpl	pissing in my pants laughing
pin	person in need
pino	Filipino
pir	parents in room
pirlos	parent in room looking over shoulder
pita	pain in the ass
pitfa	Pain In The Fucking Ass
pitmemboam	peace in the middle east my brother of another mother
pitr	parent in the room
pitrtul	parents in the room text you later
piw	Parent is watching
pix	pictures
pk	player kill
pkemon	pokemon
pker	player killer
pking	player killing
pl	plural
pl0x	please
pl8	plate
plac	parent looking at computer
plams	parents looking at my screen
plars	party like a rock star
platcs	parent looking at the computer screen
ple's	please
pleaz	please
pleez	please
pleeze	please
pleze	please
pliz	please
plma	please leave me alone
plmk	please let me know
plo	peace, love, out
plocks	please
plokta	press lots of keys to abort
plom	parents looking over me
plomb	parents looking over my back
ploms	parent looking over my shoulder
plos	Parents Looking Over Shoulder
plox	please
ploxxorz	please
pls	please
plse	please
plu	people like us
plur	plural
plx	please/thanks
plywm	play with me
plz	please
plzkthx	Please? OK, Thank you
plzthx	please? Thanks
pm	personal message
pmbi	pardon my butting in
pmf	pardon my french
pmfji	Pardon me for jumping in
pmfsl	piss my fucking self laughing
pmg	oh my God
pmigbom	put mind in gear before opening mouth
pmita	pound me in the ass
pmitap	pound me in the ass prison
pmji	pardon my jumping in
pml	pissing myself laughing
pmo	pissing me off
pmp	pissing my pants
pmpl	piss my pants laughing
pmsfl	Pissed Myself Fucking Laughing
pmsl	piss my self laughing
pnatmbc	pay no attention to man behind the curtain
pnattmbtc	pay no attention to the man behind the curtain
pnbf	Potential new boy friend
pncah	please, no cursing allowed here
pnd	possibly not definitely
pnhlgd	parents not home, let's get dirty
pns	penis
pnus	penis
po	piss off
po po	police
po'd	pissed off
poahf	put on a happy face
poak	passed out at keyboard
pob	parent over back
poc	Piece of crap
poed	pissed off
poet	poetical
poi	point of interest
pol	politics, political
pol econ	political economy
polit	politics, political
polytechn	polytechnic(al)
poms	parent over my shoulder
pona	person of no account
poo	poop
poontang	female genitalia
pooter	Computer
pop	popular
popo	police
poq	Piss Off Quick
porc	porcelain
port	Portuguese
pos	Parent Over Shoulder
posc	piece of shit computer
poscs	parents over sholder change subject
posmbri	parent over shoulder might be reading it
poss	possessive
posslq	persons of the opposite sex sharing living quarters
posth	posthumous(ly)
postm	postmaster
potc	pirates of the caribbean
pots	Plain Old Telephone Service
pott	pottery
potus	president of the united states
pov	point of view
pow	prisoner of war
pp	pee pee
ppl	people
ppl a	participial adjective
ppl adj	participial adjective
ppl adjs	participial adjectives
pple	participle
pples	participles
ppls	people
pplz	people
